table,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
ad_request,0,4,1,3,0,4,1,0,0,0
ad_conversion,0,1,0,1,0,1,0,0,0,0
city,0,6,0,0,0,0,0,0,0,0
agg_daily,0,6,1,0,0,1,1,0,0,1
operating_system,0,6,0,0,0,0,0,0,0,0
creative,0,1,5,1,0,0,0,0,0,0
agg_monthly,0,6,1,0,0,1,1,0,0,1
agg_monthly_v2,0,6,1,0,0,1,1,0,0,1
brand,0,4,0,1,1,0,0,0,0,0
region,0,6,0,0,0,0,0,0,0,0
brand_category,0,0,0,0,1,0,0,0,0,0
ad_click,0,1,0,1,0,1,0,0,0,0
ad_combined,0,8,0,0,1,1,4,0,0,0
browser,0,6,0,0,0,0,0,0,0,0
ad_view,0,1,0,1,0,1,0,0,0,0
agg_hourly,0,6,1,0,0,2,0,0,0,3
ad_win,0,4,2,0,1,3,0,0,0,0
