table,columns
catalog.public.ad_combined,"['city_id', 'country_id', 'creative_id', 'region_id', 'datetime', 'click', 'conversion', 'postal_code', 'price', 'cost', 'os_id', 'view', 'publisher_id', 'browser_id']"
catalog.public.agg_monthly,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']"
catalog.public.ad_win,"['creative_id', 'datetime', 'price', 'cost', 'ad_request_id']"
catalog.public.agg_daily,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']"
catalog.public.ad_conversion,"['datetime', 'ad_request_id']"
catalog.public.agg_monthly_v2,"['brand_id', 'city_id', 'clicks', 'country_id', 'creative_id', 'region_id', 'spend', 'conversions', 'postal_code', 'views', 'cost', 'os_id', 'publisher_id', 'impressions', 'browser_id', 'ymd']"
catalog.public.ad_request,"['city_id', 'country_id', 'region_id', 'datetime', 'postal_code', 'os_id', 'publisher_id', 'ad_request_id', 'browser_id']"
catalog.public.operating_system,"['name', 'id']"
catalog.public.city,"['name', 'id']"
catalog.public.brand,"['brand_category_id', 'name', 'id']"
catalog.public.ad_click,"['datetime', 'ad_request_id']"
catalog.public.brand_category,"['name', 'id']"
catalog.public.region,"['name', 'id']"
catalog.public.agg_hourly,"['brand_id', 'city_id', 'clicks', 'country_id', 'creative_id', 'region_id', 'spend', 'conversions', 'postal_code', 'views', 'cost', 'os_id', 'hour', 'publisher_id', 'impressions', 'browser_id', 'ymd']"
catalog.public.browser,"['name', 'id']"
catalog.public.creative,"['brand_id', 'name', 'id']"
catalog.public.ad_view,"['datetime', 'ad_request_id']"
